startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.Scoring,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,stimulusInterval,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,hasPeriphery_2.started,hasPeriphery_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,noPeriphery_2.started,noPeriphery_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.630501600011485,None,Sadness,Sadness,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
,,,,,,,,,,,,,Pessimism,Pessimism,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
,,,,,,,,,,,,,,,,,,,9.713977700012038,None,1,[0.8686675000062678],[0.868673300021328],10.546766700019361,None,space,0.5094486000016332,10.546766700019361,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2,11.32978970001568,None,space,3.511125000019092,11.32978970001568,None,11.32978970001568,None,11.32978970001568,None,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,15.163350300019374,None,space,3.269788100005826,15.163350300019374,None,15.163350300019374,None,15.163350300019374,None,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,3,18.779533799999626,None,space,4.238111699989531,18.779533799999626,None,18.779533799999626,None,18.779533799999626,None,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,2,23.278776999999536,None,space,3.5149796000041533,23.278776999999536,None,23.278776999999536,None,23.278776999999536,None,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,2,27.0962656000047,None,space,2.8665435999864712,27.0962656000047,None,27.0962656000047,None,27.0962656000047,None,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,3,30.22816630001762,None,space,3.1182019999832846,30.22816630001762,None,30.22816630001762,None,30.22816630001762,None,,,,,,,,,,,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4a.png,a,,,,,0,0,0,0,33.44456680002622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.644937000004575,None,space,1.6378510000067763,35.644937000004575,None,35.644937000004575,None,35.644937000004575,None,,001,2021_Jul_22_1511,UniformityIllusion,2021.1.4,60.22024954224068,
