startImage,midImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.Scoring,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,stimulusInterval,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,final.started,final.stopped,blank_screen.started,blank_screen.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.510555200000454,None,Sadness,Sadness,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
,,,,,,,,,,,,,,Pessimism,Pessimism,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,16.593587000001207,None,1,[0.9600817999998981],[0.9600864000003639],17.499795300000187,None,space,0.2917360000010376,17.499795300000187,None,,,,,,,,,,,,,,,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,2,18.197829900000215,None,None,18.197829900000215,None,18.197829900000215,None,None,None,None,None,18.197829900000215,None,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,2,18.62695480000002,None,None,18.62695480000002,None,18.62695480000002,None,None,None,None,None,18.62695480000002,None,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,2,19.09223960000054,None,None,19.09223960000054,None,19.09223960000054,None,None,None,None,None,19.09223960000054,None,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,3,19.540204200000517,None,None,19.540204200000517,None,19.540204200000517,None,None,None,None,None,19.540204200000517,None,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,2,20.010625099999743,None,None,20.010625099999743,None,20.010625099999743,None,None,None,None,None,20.010625099999743,None,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,3,20.434686800001145,None,None,20.434686800001145,None,20.434686800001145,None,None,None,None,None,20.434686800001145,None,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\6start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\6a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\6a.png,a,,,,,0,0,0,4,20.55327750000106,None,,,,,,,,,,,,,,,,,,2,22.77997940000023,None,None,22.77997940000023,None,22.77997940000023,None,None,None,None,None,22.77997940000023,None,,001,2021_Jul_29_1311,UniformityIllusion,2021.1.4,None,
